03. 15:32:45, batch 106,  convothello.ckpt wr: 0.55, nvothello/drill_23.ckpt wr: 0.43
03. 15:33:51, batch 107,  convothello.ckpt wr: 0.52, nvothello/drill_70.ckpt wr: 0.44
03. 15:34:55, batch 108,  convothello.ckpt wr: 0.46, nvothello/drill_81.ckpt wr: 0.51
03. 15:36:00, batch 109,  convothello.ckpt wr: 0.52, nvothello/drill_101.ckpt wr: 0.46
03. 15:37:07, batch 110,  convothello.ckpt wr: 0.42, nvothello/drill_50.ckpt wr: 0.53
03. 15:38:11, batch 111,  convothello.ckpt wr: 0.45, nvothello/drill_63.ckpt wr: 0.54
03. 15:39:20, batch 112,  convothello.ckpt wr: 0.49, nvothello/drill_72.ckpt wr: 0.47
03. 15:40:24, batch 113,  convothello.ckpt wr: 0.55, nvothello/drill_97.ckpt wr: 0.42
03. 15:41:29, batch 114,  convothello.ckpt wr: 0.51, nvothello/drill_15.ckpt wr: 0.47
03. 15:42:36, batch 115,  convothello.ckpt wr: 0.53, nvothello/drill_30.ckpt wr: 0.44
03. 15:43:42, batch 116,  convothello.ckpt wr: 0.52, nvothello/drill_64.ckpt wr: 0.45
03. 15:44:44, batch 117,  convothello.ckpt wr: 0.46, nvothello/drill_91.ckpt wr: 0.52
03. 15:45:49, batch 118,  convothello.ckpt wr: 0.59, nvothello/drill_14.ckpt wr: 0.39
03. 15:46:52, batch 119,  convothello.ckpt wr: 0.54, nvothello/drill_54.ckpt wr: 0.43
03. 15:47:58, batch 120,  convothello.ckpt wr: 0.48, nvothello/drill_112.ckpt wr: 0.48
03. 15:49:03, batch 121,  convothello.ckpt wr: 0.47, nvothello/drill_93.ckpt wr: 0.52
03. 15:50:08, batch 122,  convothello.ckpt wr: 0.46, nvothello/drill_88.ckpt wr: 0.52
03. 15:51:11, batch 123,  convothello.ckpt wr: 0.45, nvothello/drill_65.ckpt wr: 0.52
03. 15:52:19, batch 124,  convothello.ckpt wr: 0.53, nvothello/drill_28.ckpt wr: 0.42
03. 15:53:24, batch 125,  convothello.ckpt wr: 0.46, nvothello/drill_92.ckpt wr: 0.52
03. 15:54:28, batch 126,  convothello.ckpt wr: 0.52, nvothello/drill_70.ckpt wr: 0.45
03. 15:55:33, batch 127,  convothello.ckpt wr: 0.59, nvothello/drill_10.ckpt wr: 0.38
03. 15:56:41, batch 128,  convothello.ckpt wr: 0.53, nvothello/drill_117.ckpt wr: 0.45
03. 15:57:47, batch 129,  convothello.ckpt wr: 0.55, nvothello/drill_94.ckpt wr: 0.40
03. 15:58:55, batch 130,  convothello.ckpt wr: 0.38, nvothello/drill_103.ckpt wr: 0.58
03. 16:00:03, batch 131,  convothello.ckpt wr: 0.45, nvothello/drill_39.ckpt wr: 0.51
03. 16:01:10, batch 132,  convothello.ckpt wr: 0.42, nvothello/drill_90.ckpt wr: 0.55
03. 16:02:19, batch 133,  convothello.ckpt wr: 0.53, nvothello/drill_102.ckpt wr: 0.45
03. 16:03:28, batch 134,  convothello.ckpt wr: 0.62, nvothello/drill_113.ckpt wr: 0.35
03. 16:04:34, batch 135,  convothello.ckpt wr: 0.46, nvothello/drill_73.ckpt wr: 0.49
03. 16:05:43, batch 136,  convothello.ckpt wr: 0.45, nvothello/drill_56.ckpt wr: 0.51
03. 16:06:50, batch 137,  convothello.ckpt wr: 0.49, nvothello/drill_57.ckpt wr: 0.49
03. 16:07:57, batch 138,  convothello.ckpt wr: 0.49, nvothello/drill_125.ckpt wr: 0.48
03. 16:09:06, batch 139,  convothello.ckpt wr: 0.55, nvothello/drill_11.ckpt wr: 0.41
03. 16:10:16, batch 140,  convothello.ckpt wr: 0.48, nvothello/drill_110.ckpt wr: 0.50
03. 16:11:20, batch 141,  convothello.ckpt wr: 0.52, nvothello/drill_132.ckpt wr: 0.45
03. 16:12:28, batch 142,  convothello.ckpt wr: 0.59, nvothello/drill_113.ckpt wr: 0.40
03. 16:13:35, batch 143,  convothello.ckpt wr: 0.49, nvothello/drill_16.ckpt wr: 0.49
03. 16:14:42, batch 144,  convothello.ckpt wr: 0.52, nvothello/drill_24.ckpt wr: 0.43
03. 16:15:47, batch 145,  convothello.ckpt wr: 0.56, nvothello/drill_64.ckpt wr: 0.43
03. 16:16:52, batch 146,  convothello.ckpt wr: 0.54, nvothello/drill_17.ckpt wr: 0.44
03. 16:18:00, batch 147,  convothello.ckpt wr: 0.47, nvothello/drill_97.ckpt wr: 0.49
