07. Feb 17:15:29, Step 40500: 0.545833333333 2.17880655924
07. Feb 17:16:01, Step 40750: 0.5125 2.26576080322
07. Feb 17:16:33, Step 41000: 0.545833333333 2.20681355794
07. Feb 17:17:07, Step 41250: 0.516666666667 2.22959187826
07. Feb 17:17:39, Step 41500: 0.5375 2.14138183594
07. Feb 17:18:10, Step 41750: 0.516666666667 2.16263376872
07. Feb 17:18:42, Step 42000: 0.516666666667 2.12257283529
07. Feb 17:19:15, Step 42250: 0.5375 2.20594991048
07. Feb 17:19:47, Step 42500: 0.545833333333 2.06514256795
07. Feb 17:20:19, Step 42750: 0.541666666667 2.07560895284
07. Feb 17:20:49, Step 43000: 0.55 2.11211980184
07. Feb 17:21:19, Step 43250: 0.541666666667 2.02661692301
07. Feb 17:21:49, Step 43500: 0.520833333333 2.06019935608
07. Feb 17:22:20, Step 43750: 0.533333333333 2.07616399129
07. Feb 17:22:52, Step 44000: 0.533333333333 2.07984186808
07. Feb 17:23:25, Step 44250: 0.5375 2.05008773804
07. Feb 17:23:57, Step 44500: 0.5125 2.05881945292
07. Feb 17:24:29, Step 44750: 0.541666666667 2.06378809611
07. Feb 17:25:01, Step 45000: 0.529166666667 2.03757324219
07. Feb 17:25:35, Step 45250: 0.508333333333 2.08880551656
07. Feb 17:26:09, Step 45500: 0.525 2.10687497457
07. Feb 17:26:43, Step 45750: 0.520833333333 2.16473134359
07. Feb 17:27:17, Step 46000: 0.504166666667 2.09623972575
07. Feb 17:27:52, Step 46250: 0.545833333333 2.0429986318
07. Feb 17:28:27, Step 46500: 0.516666666667 2.09790039062
07. Feb 17:29:00, Step 46750: 0.533333333333 2.10752563477
07. Feb 17:29:34, Step 47000: 0.545833333333 2.07621014913
07. Feb 17:30:07, Step 47250: 0.529166666667 2.09018351237
07. Feb 17:30:42, Step 47500: 0.541666666667 2.14729258219
07. Feb 17:31:17, Step 47750: 0.558333333333 2.06665204366
07. Feb 17:31:51, Step 48000: 0.5375 2.13169962565
07. Feb 17:32:25, Step 48250: 0.529166666667 2.05771814982
07. Feb 17:33:00, Step 48500: 0.541666666667 2.03494046529
07. Feb 17:33:35, Step 48750: 0.545833333333 2.04924329122
07. Feb 17:34:13, Step 49000: 0.5125 2.07228864034
07. Feb 17:34:48, Step 49250: 0.525 2.0534740448
07. Feb 17:35:22, Step 49500: 0.508333333333 2.0628789266
07. Feb 17:35:57, Step 49750: 0.558333333333 2.02227630615
07. Feb 17:36:30, Step 50000: 0.529166666667 2.05759811401
07. Feb 17:37:05, Step 50250: 0.533333333333 2.04069391886
07. Feb 17:37:40, Step 50500: 0.5125 2.04600601196
07. Feb 17:38:14, Step 50750: 0.533333333333 2.07396596273
07. Feb 17:38:48, Step 51000: 0.516666666667 2.11318982442
07. Feb 17:39:22, Step 51250: 0.529166666667 2.03875045776
07. Feb 17:39:57, Step 51500: 0.55 2.03305943807
07. Feb 17:40:31, Step 51750: 0.508333333333 2.05849558512
07. Feb 17:41:05, Step 52000: 0.525 2.03334108988
07. Feb 17:41:40, Step 52250: 0.520833333333 2.06510467529
07. Feb 17:42:14, Step 52500: 0.545833333333 2.0484992981
07. Feb 17:42:49, Step 52750: 0.5125 2.03197021484
07. Feb 17:43:23, Step 53000: 0.529166666667 2.04444834391
07. Feb 17:43:58, Step 53250: 0.5375 2.01317342122
07. Feb 17:44:33, Step 53500: 0.533333333333 2.01472422282
07. Feb 17:45:08, Step 53750: 0.545833333333 2.1050306956
07. Feb 17:45:42, Step 54000: 0.529166666667 2.09092610677
07. Feb 17:46:17, Step 54250: 0.5125 2.1499399821
07. Feb 17:46:51, Step 54500: 0.525 2.04886805216
07. Feb 17:47:26, Step 54750: 0.5125 2.04910341899
07. Feb 17:48:00, Step 55000: 0.520833333333 2.10943438212
07. Feb 17:48:35, Step 55250: 0.533333333333 2.24926452637
07. Feb 17:49:09, Step 55500: 0.55 2.08670857747
07. Feb 17:49:43, Step 55750: 0.529166666667 2.06506856283
07. Feb 17:50:18, Step 56000: 0.529166666667 2.29486541748
07. Feb 17:50:52, Step 56250: 0.5625 2.20855611165
07. Feb 17:51:27, Step 56500: 0.520833333333 2.08447647095
07. Feb 17:52:02, Step 56750: 0.516666666667 2.06701176961
07. Feb 17:52:36, Step 57000: 0.525 2.06861076355
07. Feb 17:53:10, Step 57250: 0.504166666667 2.06387265523
07. Feb 17:53:45, Step 57500: 0.525 2.14250615438
07. Feb 17:54:18, Step 57750: 0.545833333333 2.27523803711
07. Feb 17:54:52, Step 58000: 0.558333333333 2.11189041138
07. Feb 17:55:26, Step 58250: 0.558333333333 2.05228983561
07. Feb 17:56:00, Step 58500: 0.545833333333 2.19762446086
07. Feb 17:56:35, Step 58750: 0.533333333333 2.36352640788
07. Feb 17:57:08, Step 59000: 0.5375 2.03684705098
07. Feb 17:57:42, Step 59250: 0.5375 2.05510991414
07. Feb 17:58:16, Step 59500: 0.529166666667 2.05427805583
07. Feb 17:58:51, Step 59750: 0.5375 2.01808064779
07. Feb 17:59:25, Step 60000: 0.529166666667 1.99668604533
07. Feb 18:00:00, Step 60250: 0.520833333333 2.00907897949
07. Feb 18:00:34, Step 60500: 0.545833333333 2.0002204895
07. Feb 18:01:09, Step 60750: 0.545833333333 2.00790112813
07. Feb 18:01:43, Step 61000: 0.516666666667 2.00455970764
07. Feb 18:02:18, Step 61250: 0.516666666667 2.00986595154
07. Feb 18:02:52, Step 61500: 0.533333333333 2.00321528117
07. Feb 18:03:27, Step 61750: 0.5125 2.00057779948
07. Feb 18:04:01, Step 62000: 0.529166666667 2.0369169871
07. Feb 18:04:36, Step 62250: 0.541666666667 2.01771710714
07. Feb 18:05:11, Step 62500: 0.5375 2.00175743103
07. Feb 18:05:46, Step 62750: 0.541666666667 2.01111615499
07. Feb 18:06:21, Step 63000: 0.541666666667 1.9602238973
07. Feb 18:06:56, Step 63250: 0.55 1.99469451904
07. Feb 18:07:30, Step 63500: 0.525 1.97507960002
07. Feb 18:08:06, Step 63750: 0.520833333333 2.02676429749
07. Feb 18:08:41, Step 64000: 0.558333333333 2.00776392619
07. Feb 18:09:15, Step 64250: 0.554166666667 1.98277193705
07. Feb 18:09:49, Step 64500: 0.541666666667 1.99839312236
07. Feb 18:10:24, Step 64750: 0.558333333333 1.96885236104
07. Feb 18:10:59, Step 65000: 0.541666666667 1.99620386759
07. Feb 18:11:31, Step 65250: 0.525 1.99765446981
07. Feb 18:12:00, Step 65500: 0.554166666667 1.98029225667
07. Feb 18:12:30, Step 65750: 0.558333333333 1.96066614787
07. Feb 18:13:00, Step 66000: 0.529166666667 1.98995755514
07. Feb 18:13:30, Step 66250: 0.5625 1.99209925334
07. Feb 18:14:02, Step 66500: 0.5375 1.98949368795
07. Feb 18:14:32, Step 66750: 0.545833333333 1.98018074036
07. Feb 18:15:01, Step 67000: 0.533333333333 2.00981508891
07. Feb 18:15:32, Step 67250: 0.5375 1.97110176086
07. Feb 18:16:01, Step 67500: 0.529166666667 1.9794090271
07. Feb 18:16:31, Step 67750: 0.533333333333 2.02358894348
07. Feb 18:17:00, Step 68000: 0.5125 2.08061752319
07. Feb 18:17:34, Step 68250: 0.5375 2.10201225281
07. Feb 18:18:09, Step 68500: 0.508333333333 2.02873013814
07. Feb 18:18:41, Step 68750: 0.541666666667 1.99585062663
07. Feb 18:19:10, Step 69000: 0.545833333333 2.03539390564
07. Feb 18:19:41, Step 69250: 0.541666666667 2.04584147135
07. Feb 18:20:14, Step 69500: 0.5125 2.0377339681
07. Feb 18:20:45, Step 69750: 0.5125 2.1105691274
