11. Mar 19:05:39, Step 0: 0.49 2.361467013
11. Mar 19:26:50, Step 0: 0.484366812227 2.3606837907
11. Mar 19:48:11, Step 0: 0.489898107715 2.35839773921
11. Mar 20:09:18, Step 0: 0.489898107715 2.35648448787
11. Mar 20:30:41, Step 0: 0.492896652111 2.35135763093
11. Mar 20:51:57, Step 0: 0.49173216885 2.35019020787
11. Mar 21:13:16, Step 0: 0.492532751092 2.34841672808
11. Mar 21:34:22, Step 0: 0.493013100437 2.34584292505
11. Mar 21:55:39, Step 0: 0.493027656477 2.34583585667
11. Mar 22:16:38, Step 0: 0.4903930131 2.34682565813
11. Mar 22:37:49, Step 0: 0.495487627365 2.33948936186
11. Mar 22:58:53, Step 0: 0.493551673945 2.33726920593
11. Mar 23:19:52, Step 0: 0.49557496361 2.3342231894
11. Mar 23:41:08, Step 0: 0.49308588064 2.3314740449
12. Mar 00:02:24, Step 0: 0.49576419214 2.32829555321
12. Mar 00:23:47, Step 0: 0.497569141194 2.32960844813
12. Mar 00:44:50, Step 0: 0.497045123726 2.32691379858
12. Mar 01:06:32, Step 0: 0.49615720524 2.32353123586
12. Mar 01:28:16, Step 0: 0.495735080058 2.32301661207
12. Mar 01:50:11, Step 0: 0.498209606987 2.32037828155
12. Mar 02:11:56, Step 0: 0.495240174672 2.31819711574
12. Mar 02:33:44, Step 0: 0.497933042213 2.31516934019
12. Mar 02:55:25, Step 0: 0.49596797671 2.31815288135
12. Mar 03:17:16, Step 0: 0.49845705968 2.31335025793
12. Mar 03:39:08, Step 0: 0.496885007278 2.3128221814
12. Mar 04:00:55, Step 0: 0.50058224163 2.3085455824
12. Mar 04:22:42, Step 0: 0.500946142649 2.30802959053
12. Mar 04:44:26, Step 0: 0.501659388646 2.30610790272
12. Mar 05:06:26, Step 0: 0.496026200873 2.30612386359
12. Mar 05:28:18, Step 0: 0.500480349345 2.30290774987
12. Mar 05:50:17, Step 0: 0.502896652111 2.30010707458
12. Mar 06:12:10, Step 0: 0.498820960699 2.30094707196
12. Mar 06:33:55, Step 0: 0.505312954876 2.29781509478
12. Mar 06:55:52, Step 0: 0.501048034934 2.2959789116
12. Mar 07:17:36, Step 0: 0.503114992722 2.29413930823
12. Mar 07:39:33, Step 0: 0.505676855895 2.29323501138
12. Mar 08:01:22, Step 0: 0.505269286754 2.29000567295
12. Mar 08:23:26, Step 0: 0.505254730713 2.29300631503
12. Mar 08:45:47, Step 0: 0.504905385735 2.28891098582
12. Mar 09:07:49, Step 0: 0.505240174672 2.28528148576
12. Mar 09:29:47, Step 0: 0.505080058224 2.28596392663
