01. Mar 03:22:03, Step 4000: 0.5578125 1.93884671529
01. Mar 03:24:17, Step 8000: 0.562239583333 1.90483563741
01. Mar 03:26:42, Step 12000: 0.558333333333 1.91628837585
01. Mar 03:29:01, Step 16000: 0.569270833333 1.90174306234
01. Mar 03:31:13, Step 20000: 0.561458333333 1.90949554443
01. Mar 03:33:28, Step 24000: 0.555989583333 2.0173538208
01. Mar 03:35:46, Step 28000: 0.561979166667 1.93843701681
01. Mar 03:38:02, Step 32000: 0.558333333333 1.91901334127
01. Mar 03:40:15, Step 36000: 0.558854166667 1.90198822021
01. Mar 03:42:29, Step 40000: 0.551822916667 2.00470466614
01. Mar 03:44:46, Step 44000: 0.56484375 1.90994885763
01. Mar 03:46:58, Step 48000: 0.558333333333 2.02843602498
01. Mar 03:49:16, Step 52000: 0.559635416667 1.91124013265
01. Mar 03:51:32, Step 56000: 0.55 2.22076975505
01. Mar 03:53:51, Step 60000: 0.559114583333 1.91164550781
01. Mar 03:56:17, Step 64000: 0.562239583333 1.8878103892
01. Mar 03:58:59, Step 68000: 0.556510416667 1.92544148763
01. Mar 04:01:47, Step 72000: 0.55625 1.89349530538
01. Mar 04:04:41, Step 76000: 0.564322916667 1.90102984111
01. Mar 04:07:29, Step 80000: 0.557552083333 1.92867177327
01. Mar 04:10:17, Step 84000: 0.56875 1.88439852397
01. Mar 04:13:00, Step 88000: 0.562239583333 1.92046521505
01. Mar 04:15:48, Step 92000: 0.561197916667 2.11102625529
01. Mar 04:18:37, Step 96000: 0.55 1.90828882853
01. Mar 04:21:20, Step 100000: 0.564322916667 1.90343729655
01. Mar 04:24:01, Step 104000: 0.569010416667 1.8910252889
01. Mar 04:26:40, Step 108000: 0.5625 1.91640052795
01. Mar 04:29:20, Step 112000: 0.568229166667 1.89018681844
01. Mar 04:32:49, Step 116000: 0.5609375 1.8925684611
01. Mar 04:34:26, Step 0: 0.566666666667 1.88482500712
01. Mar 04:34:59, Step 20: 0.563802083333 1.88994560242
01. Mar 04:35:36, Step 40: 0.563802083333 1.89341557821
01. Mar 04:36:05, Step 60: 0.559895833333 1.90055567424
01. Mar 04:36:42, Step 80: 0.561458333333 1.89837989807
01. Mar 04:37:15, Step 100: 0.565885416667 1.89945920308
01. Mar 04:41:48, Step 4000: 0.563802083333 1.88805732727
01. Mar 04:46:23, Step 8000: 0.565885416667 1.89545593262
01. Mar 04:51:07, Step 12000: 0.5609375 1.8965075175
