01. 13:19:34, batch 86,  layers8filters64.ckpt wr: 0.50, drill_55.ckpt wr: 0.48
01. 13:20:30, batch 87,  layers8filters64.ckpt wr: 0.51, drill_3.ckpt wr: 0.47
01. 13:21:34, batch 88,  layers8filters64.ckpt wr: 0.53, drill_18.ckpt wr: 0.45
01. 13:22:39, batch 89,  layers8filters64.ckpt wr: 0.56, drill_80.ckpt wr: 0.41
01. 13:23:36, batch 90,  layers8filters64.ckpt wr: 0.53, drill_60.ckpt wr: 0.43
01. 13:24:26, batch 91,  layers8filters64.ckpt wr: 0.41, drill_85.ckpt wr: 0.59
01. 13:25:21, batch 92,  layers8filters64.ckpt wr: 0.52, drill_61.ckpt wr: 0.47
01. 13:26:21, batch 93,  layers8filters64.ckpt wr: 0.52, drill_47.ckpt wr: 0.47
01. 13:27:31, batch 94,  layers8filters64.ckpt wr: 0.45, drill_91.ckpt wr: 0.54
01. 13:28:24, batch 95,  layers8filters64.ckpt wr: 0.55, drill_11.ckpt wr: 0.43
01. 13:29:31, batch 96,  layers8filters64.ckpt wr: 0.49, drill_36.ckpt wr: 0.48
01. 13:30:36, batch 97,  layers8filters64.ckpt wr: 0.46, drill_91.ckpt wr: 0.50
01. 13:31:32, batch 98,  layers8filters64.ckpt wr: 0.48, drill_50.ckpt wr: 0.51
01. 13:32:24, batch 99,  layers8filters64.ckpt wr: 0.54, drill_4.ckpt wr: 0.44
01. 13:33:30, batch 100,  layers8filters64.ckpt wr: 0.43, drill_30.ckpt wr: 0.54
01. 13:34:36, batch 101,  layers8filters64.ckpt wr: 0.55,  wr: 0.43
01. 13:35:41, batch 102,  layers8filters64.ckpt wr: 0.52, drill_14.ckpt wr: 0.45
01. 13:36:53, batch 103,  layers8filters64.ckpt wr: 0.47, drill_57.ckpt wr: 0.52
01. 13:38:03, batch 104,  layers8filters64.ckpt wr: 0.53, drill_67.ckpt wr: 0.45
01. 13:39:06, batch 105,  layers8filters64.ckpt wr: 0.51, drill_14.ckpt wr: 0.45
01. 13:40:04, batch 106,  layers8filters64.ckpt wr: 0.59, drill_7.ckpt wr: 0.38
01. 13:41:13, batch 107,  layers8filters64.ckpt wr: 0.55, drill_26.ckpt wr: 0.45
01. 13:42:13, batch 108,  layers8filters64.ckpt wr: 0.41, drill_62.ckpt wr: 0.51
01. 13:43:22, batch 109,  layers8filters64.ckpt wr: 0.48, drill_11.ckpt wr: 0.50
01. 13:44:17, batch 110,  layers8filters64.ckpt wr: 0.44, drill_57.ckpt wr: 0.55
01. 13:45:28, batch 111,  layers8filters64.ckpt wr: 0.55, drill_30.ckpt wr: 0.43
01. 13:46:38, batch 112,  layers8filters64.ckpt wr: 0.50, drill_54.ckpt wr: 0.46
01. 13:47:48, batch 113,  layers8filters64.ckpt wr: 0.48, drill_18.ckpt wr: 0.48
01. 13:48:55, batch 114,  layers8filters64.ckpt wr: 0.45, drill_75.ckpt wr: 0.55
01. 13:50:05, batch 115,  layers8filters64.ckpt wr: 0.53, drill_25.ckpt wr: 0.45
01. 13:51:12, batch 116,  layers8filters64.ckpt wr: 0.49, drill_50.ckpt wr: 0.47
01. 13:52:22, batch 117,  layers8filters64.ckpt wr: 0.52, drill_74.ckpt wr: 0.45
01. 13:53:17, batch 118,  layers8filters64.ckpt wr: 0.52, drill_31.ckpt wr: 0.45
01. 13:54:16, batch 119,  layers8filters64.ckpt wr: 0.40, drill_53.ckpt wr: 0.55
01. 13:55:25, batch 120,  layers8filters64.ckpt wr: 0.46, drill_17.ckpt wr: 0.52
01. 13:56:24, batch 121,  layers8filters64.ckpt wr: 0.51, drill_25.ckpt wr: 0.47
01. 13:57:21, batch 122,  layers8filters64.ckpt wr: 0.51, drill_45.ckpt wr: 0.46
01. 13:58:25, batch 123,  layers8filters64.ckpt wr: 0.55, drill_90.ckpt wr: 0.44
01. 13:59:34, batch 124,  layers8filters64.ckpt wr: 0.41, drill_19.ckpt wr: 0.55
01. 14:00:44, batch 125,  layers8filters64.ckpt wr: 0.45, drill_74.ckpt wr: 0.52
01. 14:01:52, batch 126,  layers8filters64.ckpt wr: 0.45, drill_35.ckpt wr: 0.55
01. 14:03:04, batch 127,  layers8filters64.ckpt wr: 0.48, drill_10.ckpt wr: 0.49
01. 14:04:01, batch 128,  layers8filters64.ckpt wr: 0.53, drill_25.ckpt wr: 0.46
01. 14:04:51, batch 129,  layers8filters64.ckpt wr: 0.47, drill_85.ckpt wr: 0.51
01. 14:05:48, batch 130,  layers8filters64.ckpt wr: 0.53, drill_101.ckpt wr: 0.44
01. 14:06:49, batch 131,  layers8filters64.ckpt wr: 0.49, drill_68.ckpt wr: 0.47
01. 14:07:54, batch 132,  layers8filters64.ckpt wr: 0.50, drill_49.ckpt wr: 0.47
01. 14:09:05, batch 133,  layers8filters64.ckpt wr: 0.49, drill_79.ckpt wr: 0.48
01. 14:10:07, batch 134,  layers8filters64.ckpt wr: 0.48, drill_132.ckpt wr: 0.48
01. 14:11:01, batch 135,  layers8filters64.ckpt wr: 0.45, drill_111.ckpt wr: 0.51
01. 14:12:00, batch 136,  layers8filters64.ckpt wr: 0.52, drill_8.ckpt wr: 0.45
01. 14:13:05, batch 137,  layers8filters64.ckpt wr: 0.42, drill_35.ckpt wr: 0.56
01. 14:14:15, batch 138,  layers8filters64.ckpt wr: 0.46, drill_106.ckpt wr: 0.51
01. 14:15:25, batch 139,  layers8filters64.ckpt wr: 0.52, drill_13.ckpt wr: 0.45
01. 14:16:26, batch 140,  layers8filters64.ckpt wr: 0.49, drill_62.ckpt wr: 0.47
01. 14:17:35, batch 141,  layers8filters64.ckpt wr: 0.45, drill_108.ckpt wr: 0.49
01. 14:18:40, batch 142,  layers8filters64.ckpt wr: 0.59, drill_134.ckpt wr: 0.38
01. 14:19:46, batch 143,  layers8filters64.ckpt wr: 0.45, drill_33.ckpt wr: 0.51
01. 14:20:50, batch 144,  layers8filters64.ckpt wr: 0.54, drill_138.ckpt wr: 0.41
01. 14:21:54, batch 145,  layers8filters64.ckpt wr: 0.52, drill_84.ckpt wr: 0.45
01. 14:23:02, batch 146,  layers8filters64.ckpt wr: 0.56, drill_139.ckpt wr: 0.41
01. 14:24:14, batch 147,  layers8filters64.ckpt wr: 0.59, drill_25.ckpt wr: 0.36
01. 14:25:12, batch 148,  layers8filters64.ckpt wr: 0.51, drill_58.ckpt wr: 0.47
01. 14:26:17, batch 149,  layers8filters64.ckpt wr: 0.59, drill_5.ckpt wr: 0.39
01. 14:27:17, batch 150,  layers8filters64.ckpt wr: 0.45, drill_65.ckpt wr: 0.54
01. 14:28:29, batch 151,  layers8filters64.ckpt wr: 0.47, drill_115.ckpt wr: 0.49
01. 14:29:31, batch 152,  layers8filters64.ckpt wr: 0.50, drill_59.ckpt wr: 0.45
01. 14:30:43, batch 153,  layers8filters64.ckpt wr: 0.48, drill_138.ckpt wr: 0.51
01. 14:31:49, batch 154,  layers8filters64.ckpt wr: 0.50, drill_115.ckpt wr: 0.48
01. 14:32:44, batch 155,  layers8filters64.ckpt wr: 0.53, drill_11.ckpt wr: 0.43
01. 14:33:48, batch 156,  layers8filters64.ckpt wr: 0.54, drill_105.ckpt wr: 0.45
01. 14:34:55, batch 157,  layers8filters64.ckpt wr: 0.49, drill_120.ckpt wr: 0.46
01. 14:36:08, batch 158,  layers8filters64.ckpt wr: 0.52, drill_28.ckpt wr: 0.45
01. 14:37:18, batch 159,  layers8filters64.ckpt wr: 0.45, drill_68.ckpt wr: 0.52
01. 14:38:22, batch 160,  layers8filters64.ckpt wr: 0.48, drill_108.ckpt wr: 0.48
01. 14:39:34, batch 161,  layers8filters64.ckpt wr: 0.52, drill_84.ckpt wr: 0.46
01. 14:40:44, batch 162,  layers8filters64.ckpt wr: 0.60, drill_32.ckpt wr: 0.36
01. 14:41:54, batch 163,  layers8filters64.ckpt wr: 0.55, drill_124.ckpt wr: 0.45
01. 14:42:59, batch 164,  layers8filters64.ckpt wr: 0.55, drill_76.ckpt wr: 0.42
01. 14:44:04, batch 165,  layers8filters64.ckpt wr: 0.54, drill_45.ckpt wr: 0.46
01. 14:45:08, batch 166,  layers8filters64.ckpt wr: 0.48, drill_42.ckpt wr: 0.47
01. 14:46:07, batch 167,  layers8filters64.ckpt wr: 0.52, drill_91.ckpt wr: 0.45
01. 14:47:04, batch 168,  layers8filters64.ckpt wr: 0.47, drill_149.ckpt wr: 0.52
01. 14:47:57, batch 169,  layers8filters64.ckpt wr: 0.48, drill_71.ckpt wr: 0.51
01. 14:49:07, batch 170,  layers8filters64.ckpt wr: 0.56, drill_4.ckpt wr: 0.42
01. 14:50:20, batch 171,  layers8filters64.ckpt wr: 0.59, drill_43.ckpt wr: 0.38
01. 14:51:32, batch 172,  layers8filters64.ckpt wr: 0.53, drill_3.ckpt wr: 0.45
01. 14:52:45, batch 173,  layers8filters64.ckpt wr: 0.61, drill_53.ckpt wr: 0.38
01. 14:53:58, batch 174,  layers8filters64.ckpt wr: 0.60, drill_115.ckpt wr: 0.39
01. 14:55:01, batch 175,  layers8filters64.ckpt wr: 0.49, drill_168.ckpt wr: 0.47
01. 14:56:02, batch 176,  layers8filters64.ckpt wr: 0.50, drill_8.ckpt wr: 0.47
01. 14:57:02, batch 177,  layers8filters64.ckpt wr: 0.50, drill_97.ckpt wr: 0.48
01. 14:58:02, batch 178,  layers8filters64.ckpt wr: 0.52, drill_53.ckpt wr: 0.47
01. 14:59:06, batch 179,  layers8filters64.ckpt wr: 0.52, drill_65.ckpt wr: 0.46
01. 15:00:09, batch 180,  layers8filters64.ckpt wr: 0.46, drill_60.ckpt wr: 0.48
01. 15:01:05, batch 181,  layers8filters64.ckpt wr: 0.48, drill_166.ckpt wr: 0.48
01. 15:02:06, batch 182,  layers8filters64.ckpt wr: 0.52, drill_5.ckpt wr: 0.46
01. 15:03:13, batch 183,  layers8filters64.ckpt wr: 0.49, drill_119.ckpt wr: 0.48
01. 15:04:24, batch 184,  layers8filters64.ckpt wr: 0.52, drill_7.ckpt wr: 0.48
01. 15:05:37, batch 185,  layers8filters64.ckpt wr: 0.55, drill_9.ckpt wr: 0.44
01. 15:06:44, batch 186,  layers8filters64.ckpt wr: 0.57, drill_164.ckpt wr: 0.37
01. 15:07:50, batch 187,  layers8filters64.ckpt wr: 0.49, drill_178.ckpt wr: 0.50
01. 15:09:05, batch 188,  layers8filters64.ckpt wr: 0.59, drill_51.ckpt wr: 0.38
01. 15:10:15, batch 189,  layers8filters64.ckpt wr: 0.48, drill_17.ckpt wr: 0.52
01. 15:11:25, batch 190,  layers8filters64.ckpt wr: 0.55, drill_52.ckpt wr: 0.43
01. 15:12:28, batch 191,  layers8filters64.ckpt wr: 0.51, drill_114.ckpt wr: 0.48
01. 15:13:28, batch 192,  layers8filters64.ckpt wr: 0.55, drill_77.ckpt wr: 0.42
01. 15:14:36, batch 193,  layers8filters64.ckpt wr: 0.51, drill_35.ckpt wr: 0.45
01. 15:15:50, batch 194,  layers8filters64.ckpt wr: 0.46, drill_189.ckpt wr: 0.51
01. 15:16:59, batch 195,  layers8filters64.ckpt wr: 0.45, drill_173.ckpt wr: 0.52
01. 15:17:58, batch 196,  layers8filters64.ckpt wr: 0.47, drill_181.ckpt wr: 0.50
01. 15:19:07, batch 197,  layers8filters64.ckpt wr: 0.48, drill_166.ckpt wr: 0.50
01. 15:20:10, batch 198,  layers8filters64.ckpt wr: 0.49, drill_157.ckpt wr: 0.50
01. 15:21:20, batch 199,  layers8filters64.ckpt wr: 0.58, drill_29.ckpt wr: 0.33
01. 15:22:33, batch 200,  layers8filters64.ckpt wr: 0.57, drill_9.ckpt wr: 0.41
01. 15:23:44, batch 201,  layers8filters64.ckpt wr: 0.52,  wr: 0.45
01. 15:24:56, batch 202,  layers8filters64.ckpt wr: 0.51, drill_51.ckpt wr: 0.48
01. 15:26:09, batch 203,  layers8filters64.ckpt wr: 0.45, drill_51.ckpt wr: 0.53
01. 15:27:18, batch 204,  layers8filters64.ckpt wr: 0.53, drill_27.ckpt wr: 0.42
01. 15:28:29, batch 205,  layers8filters64.ckpt wr: 0.52, drill_104.ckpt wr: 0.45
01. 15:29:42, batch 206,  layers8filters64.ckpt wr: 0.59, drill_121.ckpt wr: 0.40
01. 15:30:44, batch 207,  layers8filters64.ckpt wr: 0.57, drill_52.ckpt wr: 0.41
01. 15:31:55, batch 208,  layers8filters64.ckpt wr: 0.54, drill_69.ckpt wr: 0.42
01. 15:33:06, batch 209,  layers8filters64.ckpt wr: 0.52, drill_27.ckpt wr: 0.46
01. 15:34:10, batch 210,  layers8filters64.ckpt wr: 0.41, drill_175.ckpt wr: 0.52
01. 15:35:18, batch 211,  layers8filters64.ckpt wr: 0.55, drill_90.ckpt wr: 0.45
01. 15:36:26, batch 212,  layers8filters64.ckpt wr: 0.50, drill_193.ckpt wr: 0.45
