06. Feb 13:48:16, Step 57000: 0.5375 1.97524197896
06. Feb 13:50:45, Step 58000: 0.570833333333 2.19392573039
06. Feb 13:53:13, Step 59000: 0.558333333333 1.97172622681
06. Feb 13:55:42, Step 60000: 0.595833333333 1.89062906901
06. Feb 13:58:12, Step 61000: 0.5625 1.8980120341
06. Feb 14:00:41, Step 62000: 0.583333333333 1.91245269775
06. Feb 14:03:11, Step 63000: 0.5875 1.85273412069
06. Feb 14:05:41, Step 64000: 0.5625 1.90686429342
06. Feb 14:08:14, Step 65000: 0.6 1.85209172567
06. Feb 14:10:44, Step 66000: 0.595833333333 1.87809206645
06. Feb 14:13:18, Step 67000: 0.575 1.90861333211
06. Feb 14:15:48, Step 68000: 0.554166666667 2.00403442383
06. Feb 14:18:19, Step 69000: 0.5625 1.93812192281
06. Feb 14:20:49, Step 70000: 0.6125 1.85557632446
06. Feb 14:20:57, Step 0: 0.204166666667 1085.48105469
06. Feb 14:21:04, Step 20: 0.1875 99.0417480469
06. Feb 14:21:11, Step 40: 0.1875 42.3555989583
06. Feb 14:21:18, Step 60: 0.170833333333 25.7050150553
06. Feb 14:21:25, Step 80: 0.191666666667 20.8281575521
06. Feb 14:21:32, Step 100: 0.208333333333 18.0065531413
06. Feb 14:23:26, Step 71000: 0.6 1.88473052979
06. Feb 14:25:56, Step 72000: 0.608333333333 1.86624170939
06. Feb 14:28:31, Step 73000: 0.5875 1.85125897725
06. Feb 14:31:04, Step 74000: 0.566666666667 1.90351155599
06. Feb 14:33:38, Step 75000: 0.575 1.91996485392
06. Feb 14:36:09, Step 76000: 0.5875 1.87036031087
06. Feb 14:38:38, Step 77000: 0.554166666667 1.92017072042
06. Feb 14:41:06, Step 78000: 0.6 1.85361862183
06. Feb 14:43:33, Step 79000: 0.595833333333 1.87281341553
06. Feb 14:46:03, Step 80000: 0.566666666667 1.87199808757
06. Feb 14:48:33, Step 81000: 0.595833333333 1.88563486735
06. Feb 14:51:04, Step 82000: 0.570833333333 1.89607912699
06. Feb 14:53:35, Step 83000: 0.5625 1.88784586589
06. Feb 14:56:06, Step 84000: 0.629166666667 1.83442141215
06. Feb 14:58:35, Step 85000: 0.595833333333 1.85381368001
06. Feb 15:01:04, Step 86000: 0.6125 1.81001586914
06. Feb 15:03:35, Step 87000: 0.620833333333 1.81244557699
06. Feb 15:06:05, Step 88000: 0.55 1.93359820048
06. Feb 15:08:35, Step 89000: 0.591666666667 1.88511123657
06. Feb 15:11:03, Step 90000: 0.591666666667 1.84106674194
06. Feb 15:13:31, Step 91000: 0.595833333333 1.86831893921
06. Feb 15:15:59, Step 92000: 0.6 2.06923039754
06. Feb 15:18:27, Step 93000: 0.6 1.89981460571
06. Feb 15:20:57, Step 94000: 0.575 1.89413197835
06. Feb 15:23:26, Step 95000: 0.6 2.28204421997
06. Feb 15:25:55, Step 96000: 0.591666666667 1.95006128947
06. Feb 15:28:24, Step 97000: 0.570833333333 1.86239191691
06. Feb 15:30:53, Step 98000: 0.591666666667 1.8568069458
06. Feb 15:33:21, Step 99000: 0.591666666667 1.82341346741
06. Feb 15:35:51, Step 100000: 0.595833333333 1.84258232117
06. Feb 15:38:18, Step 101000: 0.608333333333 1.85708262126
06. Feb 15:40:46, Step 102000: 0.6 1.80129648844
06. Feb 15:43:15, Step 103000: 0.608333333333 1.80174916585
06. Feb 15:45:43, Step 104000: 0.583333333333 1.81906382243
06. Feb 15:48:10, Step 105000: 0.591666666667 1.79201507568
06. Feb 15:50:38, Step 106000: 0.620833333333 1.782447052
06. Feb 15:53:05, Step 107000: 0.595833333333 1.90702489217
06. Feb 15:55:33, Step 108000: 0.604166666667 1.87723757426
06. Feb 15:57:59, Step 109000: 0.6125 1.80267690023
06. Feb 16:00:27, Step 110000: 0.595833333333 1.78225682576
06. Feb 16:02:55, Step 111000: 0.608333333333 1.80638554891
06. Feb 16:05:24, Step 112000: 0.595833333333 1.79107526143
